    63
     1     -1      2 2.145322E-05 2.513021E-02 8.428000E-06
     2     -1     11 2.523484E-06 2.256225E-02 4.065844E-05
     3     -1     15 1.376534E-06 1.041667E-02 7.220475E-05
     4     -1     10 7.807759E-06 3.667760E-02 1.526914E-05
     5     -1     36 4.159852E-06 1.622934E-02 8.428000E-06
     6     -1      1 2.459921E-05 3.739525E-02 1.444421E-05
     7     -1      8 1.164275E-05 3.543034E-02 8.428000E-06
     8     -1     16 8.325277E-06 2.728578E-02 8.428000E-06
     9     -1     42 3.407742E-06 2.468688E-02 8.428000E-06
    10      1      2 1.172536E-05 4.338113E-02 1.190619E-04
    11      1     16 8.076975E-06 6.347360E-02 5.205509E-05
    12      8     18 4.711143E-06 3.878415E-02 7.503067E-05
    13     11     15 6.222137E-06 1.518918E-02 4.874900E-05
    14     15     25 4.609692E-06 3.668557E-02 5.213481E-05
    15     18     32 1.395772E-06 1.071866E-02 6.249158E-05
    16      8     45 1.400780E-06 3.673430E-02 5.133030E-05
    17     11     25 5.041160E-06 7.063008E-02 4.293127E-05
    18     31     45 1.398885E-06 1.527563E-02 3.605417E-05
    19     18     45 2.713010E-06 3.234005E-02 3.365369E-05
    20     19     32 1.373397E-06 6.250000E-02 5.965165E-05
    21      1     41 2.038541E-06 3.125000E-02 7.439089E-05
    22     17     28 1.403529E-06 1.051060E-02 3.935037E-05
    23     15     17 6.248147E-06 4.869825E-02 6.747103E-05
    24     17     30 1.383281E-06 4.419417E-02 3.639412E-05
    25      2     44 1.399968E-06 4.123523E-02 1.164960E-04
    26     18     19 1.398866E-06 4.269117E-02 5.032029E-05
    27     12     13 6.592861E-06 4.319208E-02 9.458395E-05
    28     13     35 6.361820E-06 4.673300E-02 3.361745E-05
    29     18     38 1.398794E-06 3.749957E-02 3.938809E-05
    30      1     35 5.678839E-06 5.219483E-02 1.298187E-04
    31     17     46 1.409924E-06 3.682229E-02 3.691368E-05
    32      2      6 1.398547E-06 1.733438E-02 1.516934E-04
    33     14     20 6.846051E-06 5.775735E-02 6.214505E-05
    34     12     19 5.078536E-06 8.128684E-02 5.583087E-05
    35     17     23 3.276069E-06 6.665589E-02 4.550535E-05
    36     17     26 1.389026E-06 2.795085E-02 6.098489E-05
    37     21     46 1.390284E-06 2.083333E-02 4.560155E-05
    38      6     20 1.365871E-06 6.250000E-02 5.790771E-05
    39      5     12 4.846014E-06 7.935112E-02 1.046449E-04
    40     22     26 2.628516E-06 6.312509E-02 2.431313E-05
    41      3      6 8.336558E-06 7.442075E-02 7.637102E-05
    42      5      7 1.100923E-05 5.291613E-02 5.555646E-05
    43      3     40 2.331483E-06 1.981849E-02 5.998652E-05
    44      3     33 4.091143E-06 4.304580E-02 8.171276E-05
    45      3      4 1.172001E-05 2.771256E-02 6.194894E-05
    46     24     27 5.470691E-06 5.289420E-02 3.229813E-05
    47      0      9 1.020931E-05 2.090352E-02 1.665270E-05
    48      0     37 1.403300E-06 4.531279E-02 8.428000E-06
    49      0      5 6.132204E-06 3.868080E-02 4.911206E-05
    50      0      4 1.498510E-05 3.182445E-02 8.428000E-06
    51      0     24 6.559407E-06 5.276911E-02 8.428000E-06
    52      4     24 4.266170E-06 7.863825E-02 4.988447E-05
    53      4     27 1.386717E-06 3.125000E-02 6.045226E-05
    54     31     41 1.394055E-06 1.562500E-02 3.193431E-05
    55     18     31 4.849868E-06 5.021994E-02 4.282141E-05
    56     11     46 1.390721E-06 1.562500E-02 8.575159E-05
    57     19     38 4.543119E-06 2.104749E-02 2.783575E-05
    58     21     23 3.454524E-06 6.801979E-02 4.465109E-05
    59     21     26 1.386792E-06 6.250000E-02 5.388584E-05
    60     28     29 1.380587E-06 3.125000E-02 3.703265E-05
    61     34     43 2.044020E-06 5.682380E-02 1.390624E-05
    62     22     43 3.271799E-06 7.760425E-02 2.753265E-05
    63     19     39 4.389200E-06 5.164851E-02 1.804170E-05
